Sector,OLS (current),OLS (lagged),Elastic Net
Communications,-35.18622442401202,-112.6925789373179,-14.170201604384232
"Finance, Insurance & Real Estate",-29.594820958781348,-35.26473128848768,-22.014246925868076
"Health, Legal & Educational Services",-5.072668350353027,-79.68155661163475,-12.378315679551013
Heavy Manufacturing,-1.8718057693791539,-8.750259545546303,-0.845688787958154
Light Manufacturing,-7.152414533904826,-191.04637321511046,-50.94910538117786
Mining & Construction,-13.851264862486937,-29.57536355606401,-1.9363645592735204
Public Administration,-39.45371216869872,-148.9381011950465,-0.6802675227333564
Services,-0.7088741820448058,-33.493530610105786,-20.72636040430387
Transportation,-3.129668877072571,-220.222158408937,-3.748505562797733
Utilities,-82.48659567659945,-147.7381411378314,-46.22654796865448
Wholesale & Retail Trade,-8.968362462699194,-275.056199221264,-2.4626792894113643
Mean,-20.67967384236655,-116.58718124794053,-16.01257124419215
