Sector,n_obs,r2,intercept,cv_r2,GDP_Growth,Interest_Rate,Brent_Oil,Fuel_Index,CPI,GDP_Growth_lag1,GDP_Growth_lag2,Interest_Rate_lag1,Interest_Rate_lag2,Brent_Oil_lag1,Brent_Oil_lag2,Fuel_Index_lag1,Fuel_Index_lag2,CPI_lag1,CPI_lag2,GPR_Global,GPR_Global_lag1,GPR_Global_lag2
Communications,148,0.7831477968464438,-3.6411274041175234,-86.82558548503155,-0.07448249411355946,0.21691209670447928,0.0,0.022194970453587072,0.11533366122903788,-0.043845538149973176,0.0,-0.20354502996888102,0.13479540967018078,0.0014761583804400462,-0.008478605825468713,-0.013477567375774045,0.0,0.04245935997272606,0.17051680184925228,0.0,0.0,0.0
"Finance, Insurance & Real Estate",148,0.9080236521750127,-3.4138424159865433,-33.73777102885032,-0.000871927346975624,0.09889943378258109,-0.008742414976371432,0.0032133332078745475,0.20102332382111923,-0.008191651121530107,-0.003209159854818025,0.0,-0.03694776519435886,-0.00392283239206559,-0.0024578179476453807,0.004418017129709519,0.004939420319662692,0.13880783423521717,0.0651844345174893,0.001612049995488585,0.0009117671044991355,0.00010016680404886335
"Health, Legal & Educational Services",148,0.6540583390975193,-3.840220472248083,-0.8914123917136209,0.0,0.0,-0.011040497270462293,0.0,0.0,0.0,0.0,0.0,0.0,-0.005111821762100855,-0.0016261456635213642,5.503014071115451e-06,0.007240340158176682,0.0,0.029621264384127016,0.004123474964841668,0.0021039724035639184,0.0005719428218585817
Heavy Manufacturing,148,0.361344867618109,-4.511842577529408,-1.1664819750926358,0.01203966859287511,0.0,-0.0033980508483310782,0.0,0.0,0.0,0.0,0.0,-0.012927695701172904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Light Manufacturing,148,0.7020101366205386,-3.706367108056353,-103.1622874865681,-0.0107568273738413,0.06089714444031063,-0.01579891532596909,0.004432458717836344,0.30372167886343093,-0.007113065809222353,0.0,-0.12052909418960606,0.10563390833528727,0.0021329618318090327,0.0,0.004087268125389812,0.007887225008496876,0.17179777241097713,0.10586010802216518,0.0007041280569100722,0.0005590146866339675,-0.0002530856651784419
Mining & Construction,148,0.608650117901743,-4.025699228029489,-1.7414655050560977,0.0,0.0,-0.005961011343603995,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006559813351787098,-0.0034344435774174313,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Public Administration,148,,-5.405149634095225,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Services,148,0.6916788360069397,-3.4723995400201138,-30.46028074228475,0.0,-0.009010001268214858,-0.003413984698738508,0.005427809850150557,0.0,0.00677529284960673,0.0031661371191389624,0.0,0.0,0.0,-0.0035362538698105787,0.0018919894879799268,0.0,-0.058191836181098425,0.10175939157091725,-0.0004408862149795752,-7.648433705057749e-05,0.0004550938785257768
Transportation,148,0.4999367273601225,-3.61425168755194,-1.1749086909629245,0.0,0.0,0.0,0.017032647111817043,0.0,0.0,0.0,0.0,0.0,0.0,-0.0049490517751118995,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Utilities,148,0.7655276239973992,-4.010482819005439,-81.07808721494165,0.0,-0.03908845512706157,-0.003530812180066973,0.013066048162104587,0.12826537026933743,0.0,0.0,0.02426979525516194,0.07796948373607182,-0.0015442792742494825,-0.0040553405624411225,-0.0019922831348280013,0.0033780562072454326,0.21854403121130295,0.22733658524057218,0.0,0.0,0.0
Wholesale & Retail Trade,148,,-3.840865073895556,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
