Sector,n_obs,r2,cv_r2,cv_rmse,n_vars,intercept,GDP_Growth,Interest_Rate,Brent_Oil,Fuel_Index,CPI,GDP_Growth_lag1,GDP_Growth_lag2,Interest_Rate_lag1,Interest_Rate_lag2,Brent_Oil_lag1,Brent_Oil_lag2,Fuel_Index_lag1,Fuel_Index_lag2,CPI_lag1,CPI_lag2,GPR_Global,GPR_Global_lag1,GPR_Global_lag2
Communications,148,0.8280254785222806,-112.6925789373179,1.0913510003217208,18,-3.7750810214410087,-0.10329288465390109,0.29488907072156756,0.0023305067772111973,0.02185004799653558,0.26072121714136753,-0.06053062302305551,-0.04675401797797449,-0.24870251154515693,0.11859801505155276,-0.0010132287245265344,-0.0075295262327892635,-0.009438764592220672,-0.0044712359894152525,0.12184956038646576,0.2399299512671223,-0.0024423537412830826,-0.0013999256682900576,-0.0002161407424282934
"Finance, Insurance & Real Estate",148,0.9083580171606865,-35.26473128848768,0.46101919462079044,18,-3.3944191731916646,-0.004482301275663862,0.13371743769742186,-0.00886236895989044,0.003342047318706333,0.19928630882732173,-0.0073369359213099564,-0.0026585299296594533,-0.06268145255040969,-0.0067880945892911234,-0.003978565668965199,-0.0022743952724685905,0.0045241844012833534,0.004746086913595515,0.13298744879488295,0.05828569418346844,0.0016021028983164971,0.0008492670751165937,6.213139472654814e-05
"Health, Legal & Educational Services",148,0.6651917860314562,-79.68155661163475,0.9140810855066874,18,-3.86971839841625,-0.007014609564999899,0.06132354761432224,-0.01123852379031574,-0.0025054529673025874,-0.0661867432677587,-0.0139054169711744,0.0030799787575033996,-0.018776423321096268,-0.05879192655690532,-0.0057443962247123075,-0.001918972547586287,0.005510925181304358,0.006197523796445296,-0.08647637507077337,-0.05343512976446732,0.004373792260022392,0.0019514318767427776,0.00045505474883924976
Heavy Manufacturing,148,0.46908892748562014,-8.750259545546303,0.34194522213766454,18,-4.495534755680595,0.007449651643243081,0.030249092377775892,-0.0052150214936479665,0.00038514845373862895,-0.03723600207422104,-0.006758874152050825,-0.00407510138118167,0.013387921412659811,-0.06561829690348221,-0.00048170196667585033,0.0010092310330449873,0.004217948934367769,-0.0019149271860695908,-0.05519785012121754,0.026221142952905122,-0.0001289736344300231,-0.00015487142165783953,-0.0004739049459157461
Light Manufacturing,148,0.709110430969575,-191.04637321511046,1.0424500000745267,18,-3.6970857173399145,-0.014881517172163888,0.09344149166804855,-0.016411769035984444,0.003955078984369636,0.31681925457933297,0.0010364530857745746,0.0009647040569010665,-0.1856503546497249,0.13900850563279102,-0.0013774598866927344,0.004685809316705468,0.00828494165297235,0.003599738430079605,0.2596949770637918,0.09988014566946969,0.000618544798313973,0.000422127717590285,-0.00019495901421527363
Mining & Construction,148,0.7165520196350366,-29.57536355606401,0.7693340573086271,18,-4.109037350927898,-0.037894649178866216,0.09682486887550182,-0.006253082952645153,0.003502397679257391,0.1504560972759391,-0.026821743295288098,-0.013188198976720215,-0.12814924686073884,0.01569352035999551,-0.0015765996535677894,-0.0029935290065400914,-0.002791405742082072,-0.0008770962668103867,0.06727016299481296,0.1729648941769989,-0.00010952773075973319,-0.000190025696771134,0.00022102900376809464
Public Administration,148,0.30852491683212235,-148.9381011950465,3.0294396155238803,18,-5.240046074631827,0.04224637435445121,-0.1336550536735533,0.021488947436197774,0.03449536504275202,-0.9973238985034549,-0.025760925875135475,-0.04107231406038984,0.1702010812060985,-0.15186264302499028,0.002242601697750323,-0.017700970299263537,-0.024148642450047813,-0.007862236953111437,-0.931189677195047,0.03962987108408873,-0.0023293511900922244,0.0006359104716884679,0.004542919992405502
Services,148,0.6984219522376606,-33.493530610105786,0.36541716581330624,18,-3.4758709689729934,0.0031670414704366265,-0.028177059877616047,-0.004550082590257669,0.00600765671889149,0.041329613675166334,0.005831547414230679,0.003854055295719806,0.02482691361389996,-0.00466415054166115,0.0021893869297187345,-0.0042479484396720744,0.0019670180504351856,-0.0010921354671704557,-0.07145489536917467,0.10202378304026405,-0.00044788359690043207,-2.914344977317394e-05,0.0005215819472483606
Transportation,148,0.5700153507765509,-220.222158408937,1.792043566144385,18,-3.722000435063692,-0.0013692355780896954,-0.03260040582643591,0.010163515549497234,0.014633219533901105,-0.31032543024580345,-0.04000061343337378,-0.02067485395683618,0.2905131061142542,-0.2656704488224345,-0.007748800711436921,-0.007998043615244765,0.0024954608963746678,0.0024939098336943075,-0.15171057405505842,-0.012253868969397954,-0.0016726233300441437,-6.058266152389837e-05,0.0006835691207230547
Utilities,148,0.8375720476248794,-147.7381411378314,0.6991739400222988,18,-4.167585620103155,-0.053651175742429134,0.17631074909392946,-0.0023954021153173915,0.011629942764216855,0.29889015262181856,-0.04000332239638834,-0.03857793681002826,-0.19324440915523675,0.10808750869453332,-0.0031714176270818636,-0.004195396394864232,3.4908485606557114e-05,0.0036324873023180367,0.2874598423504547,0.21142899886103825,-0.0022150707472472445,-0.0022238739932896154,-0.0017389990039848307
Wholesale & Retail Trade,148,0.5134445264950024,-275.056199221264,1.0169046710201606,18,-3.6851562657696975,0.016369838124440386,-0.07815185472981798,-0.009136840646976847,-0.00570381694773224,0.05769808787779085,-0.010961029636930606,0.013311066975502165,0.24448363498656114,-0.19051604168768413,-0.0022227812708756956,0.0009563940102132883,0.00692727662848302,0.008284855996494101,-0.07512697633956185,-0.24903070383192077,0.0011700553007242794,0.0018084560730056997,-0.00040953206382868214
