;Purchase price for sold one- and two-dwelling buildings for ...
1997-01;749
1997-02;711
1997-03;746
1997-04;737
1997-05;738
1997-06;769
1997-07;748
1997-08;757
1997-09;738
1997-10;722
1997-11;732
1997-12;758
1998-01;776
1998-02;780
1998-03;821
1998-04;755
1998-05;783
1998-06;818
1998-07;824
1998-08;825
1998-09;795
1998-10;798
1998-11;808
1998-12;864
1999-01;884
1999-02;847
1999-03;867
1999-04;848
1999-05;843
1999-06;900
1999-07;882
1999-08;905
1999-09;852
1999-10;880
1999-11;865
1999-12;825
2000-01;954
2000-02;939
2000-03;941
2000-04;913
2000-05;951
2000-06;1003
2000-07;973
2000-08;1006
2000-09;965
2000-10;925
2000-11;964
2000-12;1061
2001-01;1098
2001-02;1085
2001-03;1100
2001-04;1051
2001-05;1017
2001-06;1088
2001-07;1057
2001-08;1087
2001-09;1003
2001-10;1017
2001-11;1062
2001-12;1117
2002-01;1125
2002-02;1146
2002-03;1138
2002-04;1084
2002-05;1088
2002-06;1150
2002-07;1095
2002-08;1117
2002-09;1068
2002-10;1080
2002-11;1201
2002-12;1194
2003-01;1257
2003-02;1245
2003-03;1203
2003-04;1196
2003-05;1192
2003-06;1233
2003-07;1199
2003-08;1248
2003-09;1179
2003-10;1226
2003-11;1267
2003-12;1324
2004-01;1348
2004-02;1340
2004-03;1298
2004-04;1346
2004-05;1296
2004-06;1355
2004-07;1331
2004-08;1363
2004-09;1288
2004-10;1322
2004-11;1357
2004-12;1492
2005-01;1493
2005-02;1448
2005-03;1379
2005-04;1423
2005-05;1419
2005-06;1487
2005-07;1461
2005-08;1484
2005-09;1447
2005-10;1388
2005-11;1524
2005-12;1573
2006-01;1650
2006-02;1633
2006-03;1623
2006-04;1571
2006-05;1569
2006-06;1654
2006-07;1588
2006-08;1649
2006-09;1568
2006-10;1575
2006-11;1646
2006-12;1798
2007-01;1742
2007-02;1726
2007-03;1741
2007-04;1746
2007-05;1698
2007-06;1862
2007-07;1767
2007-08;1834
2007-09;1701
2007-10;1751
2007-11;1868
2007-12;1897
2008-01;1882
2008-02;1909
2008-03;1859
2008-04;1809
2008-05;1791
2008-06;1896
2008-07;1824
2008-08;1847
2008-09;1763
2008-10;1717
2008-11;1770
2008-12;1750
2009-01;1946
2009-02;1804
2009-03;1846
2009-04;1871
2009-05;1906
2009-06;1976
2009-07;1935
2009-08;2009
2009-09;1831
2009-10;1841
2009-11;1942
2009-12;1987
2010-01;2125
2010-02;2056
2010-03;2008
2010-04;1970
2010-05;2050
2010-06;2068
2010-07;1995
2010-08;2078
2010-09;1911
2010-10;1962
2010-11;2036
2010-12;2073
2011-01;2211
2011-02;2154
2011-03;2046
2011-04;2080
2011-05;2006
2011-06;2096
2011-07;2039
2011-08;2107
2011-09;1989
2011-10;1898
2011-11;1966
2011-12;2080
2012-01;2268
2012-02;2118
2012-03;2058
2012-04;2006
2012-05;2053
2012-06;2140
2012-07;2071
2012-08;2140
2012-09;2002
2012-10;2015
2012-11;2130
2012-12;2202
2013-01;2301
2013-02;2217
2013-03;2213
2013-04;2191
2013-05;2180
2013-06;2273
2013-07;2197
2013-08;2270
2013-09;2155
2013-10;2172
2013-11;2280
2013-12;2345
2014-01;2389
2014-02;2308
2014-03;2390
2014-04;2310
2014-05;2327
2014-06;2467
2014-07;2278
2014-08;2478
2014-09;2299
2014-10;2263
2014-11;2362
2014-12;2503
2015-01;2575
2015-02;2585
2015-03;2566
2015-04;2451
2015-05;2502
2015-06;2633
2015-07;2604
2015-08;2640
2015-09;2499
2015-10;2502
2015-11;2540
2015-12;2688
2016-01;2824
2016-02;2769
2016-03;2773
2016-04;2719
2016-05;2794
2016-06;2811
2016-07;2676
2016-08;2888
2016-09;2771
2016-10;2633
2016-11;2750
2016-12;2900
2017-01;2964
2017-02;2976
2017-03;2921
2017-04;2922
2017-05;2875
2017-06;3081
2017-07;2844
2017-08;3041
2017-09;2994
2017-10;2926
2017-11;2971
2017-12;3048
2018-01;3218
2018-02;3202
2018-03;3107
2018-04;3043
2018-05;3058
2018-06;3030
2018-07;2755
2018-08;3021
2018-09;2783
2018-10;2793
2018-11;2895
2018-12;2970
2019-01;3187
2019-02;2993
2019-03;3110
2019-04;3027
2019-05;2980
2019-06;3089
2019-07;2936
2019-08;3086
2019-09;3012
2019-10;2965
2019-11;3006
2019-12;3156
2020-01;3398
2020-02;3211
2020-03;3203
2020-04;3214
2020-05;3094
2020-06;3263
2020-07;3211
2020-08;3372
2020-09;3263
2020-10;3209
2020-11;3294
2020-12;3464
2021-01;3744
2021-02;3699
2021-03;3755
2021-04;3702
2021-05;3573
2021-06;3910
2021-07;3718
2021-08;4074
2021-09;3862
2021-10;3798
2021-11;3686
2021-12;3832
2022-01;4125
2022-02;4099
2022-03;3998
2022-04;3954
2022-05;3882
2022-06;4141
2022-07;3913
2022-08;4064
2022-09;3926
2022-10;3596
2022-11;3568
2022-12;3612
2023-01;3753
2023-02;3727
2023-03;3690
2023-04;3543
2023-05;3559
2023-06;3653
2023-07;3348
2023-08;3670
2023-09;3521
2023-10;3449
2023-11;3454
2023-12;3538
2024-01;3825
2024-02;3823
2024-03;3763
2024-04;3736
2024-05;3625
2024-06;3932
2024-07;3576
2024-08;3874
2024-09;3736
2024-10;3668
2024-11;3725
2024-12;3809
2025-01;4034
2025-02;4020
2025-03;4063
2025-04;4001
2025-05;3867
2025-06;3965
2025-07;3725
2025-08;4011
2025-09;3865
2025-10;3788
2025-11;3769
2025-12;3972
2026-01;4144
