;Purchase price for multi-dwelling and commercial buildings, ...
1994-03;6403
1994-06;10360
1994-09;6777
1994-12;8737
1995-03;6927
1995-06;7280
1995-09;5185
1995-12;7952
1996-03;7641
1996-06;6330
1996-09;5986
1996-12;8312
1997-03;9084
1997-06;7145
1997-09;12832
1997-12;11467
1998-03;9644
1998-06;8694
1998-09;14414
1998-12;9824
1999-03;8847
1999-06;9382
1999-09;8653
1999-12;8342
2000-03;8801
2000-06;10959
2000-09;8808
2000-12;11588
2001-03;9921
2001-06;13293
2001-09;11426
2001-12;14164
2002-03;14166
2002-06;8404
2002-09;8633
2002-12;15546
2003-03;10674
2003-06;14329
2003-09;6772
2003-12;13510
2004-03;9473
2004-06;12201
2004-09;12084
2004-12;10427
2005-03;8283
2005-06;12646
2005-09;9995
2005-12;11920
2006-03;9239
2006-06;11847
2006-09;8953
2006-12;10812
2007-03;6999
2007-06;9214
2007-09;9329
2007-12;8959
2008-03;9887
2008-06;11024
2008-09;12889
2008-12;14866
2009-03;9530
2009-06;10859
2009-09;11186
2009-12;10684
2010-03;12277
2010-06;10294
2010-09;11589
2010-12;13573
2011-03;6854
2011-06;9185
2011-09;7664
2011-12;11840
2012-03;8746
2012-06;10895
2012-09;7198
2012-12;9303
2013-03;6311
2013-06;7762
2013-09;6010
2013-12;9649
2014-03;7445
2014-06;9841
2014-09;8144
2014-12;8038
2015-03;7221
2015-06;8009
2015-09;9691
2015-12;10108
2016-03;6594
2016-06;7763
2016-09;9761
2016-12;8152
2017-03;8768
2017-06;9528
2017-09;10489
2017-12;11543
2018-03;15853
2018-06;9870
2018-09;10926
2018-12;10983
2019-03;9825
2019-06;9561
2019-09;15066
2019-12;11649
2020-03;9357
2020-06;9764
2020-09;10804
2020-12;13139
2021-03;8895
2021-06;7631
2021-09;11774
2021-12;11310
2022-03;13773
2022-06;15498
2022-09;8141
2022-12;15611
2023-03;8891
2023-06;9233
2023-09;6679
2023-12;10751
2024-03;16183
2024-06;12065
2024-09;9018
2024-12;10279
2025-03;20154
2025-06;16279
2025-09;10596
2025-12;16365
