Sector,PD_Horizon,N_observations,Optimal_Alpha,R_squared,N_features_selected,Intercept,LASSO_β_GDP_Growth,β_selected_GDP_Growth,LASSO_β_Interest_Rate,β_selected_Interest_Rate,LASSO_β_Unemployment_Rate,β_selected_Unemployment_Rate,LASSO_β_Housing_Prices,β_selected_Housing_Prices,LASSO_β_CPI,β_selected_CPI,LASSO_δ_GPR_Global,δ_selected_GPR_Global,LASSO_δ_GPR_Sweden,δ_selected_GPR_Sweden
Transportation & Logistics,12_month,2934,0.14696057365778267,0.0,0,0.33638510063033006,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
Energy & Resources,12_month,20212,0.013518073518439576,0.04391363845523277,4,0.27383131115919807,-0.04827186280032511,1,-0.11235781742265927,1,0.06348515126114024,1,0.17368107580978695,1,0.0,0,-0.0,0,0.0,0
Telecommunications & Media,12_month,7152,0.09382707188944812,0.05359549914640804,3,0.418638452883764,-0.006250949143976268,1,0.0,0,-0.0,0,0.1742960874480247,1,0.025330599950044504,1,0.0,0,0.0,0
Financial Services,12_month,11109,0.00020009643463901565,0.0254262736058688,7,0.5060940444094625,-0.03716463690025349,1,-0.552349569489432,1,0.12240026867902157,1,-0.336820552943293,1,0.6542475106324405,1,0.17294681646619475,1,0.036933121090151406,1
Industrial & Manufacturing,12_month,9534,0.00014372746946521712,0.05340714078162856,7,0.2525537113723747,-0.061643784498843515,1,-0.4795620986776358,1,0.2758123557195286,1,-0.2198568033456574,1,0.45833825956919017,1,-0.0011611153841532054,1,0.03210475542345514,1
Consumer Goods & Retail,12_month,8061,0.04582658692485209,0.012512595135733773,2,0.31946305725384927,-0.0,0,-0.0,0,0.0,0,0.0698009302867778,1,0.019612761463301476,1,-0.0,0,-0.0,0
Professional Services & Consulting,12_month,1199,0.16234045753287887,0.0,0,0.38075016482127355,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
Technology & Software,12_month,3717,0.04500489339747401,0.0,0,0.10276728220900307,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
Healthcare & Pharmaceuticals,12_month,3750,0.0045973651577719005,0.056612707409764096,6,0.0576637421323516,-0.042447687948932285,1,0.0,0,-0.16475111115709976,1,0.1460232701277852,1,0.12051417997419422,1,-0.019678480620124037,1,-0.06278556907885866,1
Real Estate & Property,12_month,3291,0.07124006433653444,0.08530346236752684,5,0.45704998626569926,-0.0,0,0.12079187219643671,1,0.007450814536118272,1,0.2819934061988961,1,0.0,0,0.04364624708706189,1,0.053315202440106985,1
Unassigned,12_month,685,0.22693824124314774,0.09050692460493814,1,0.4171749974271477,0.0,0,0.0,0,0.0,0,0.0,0,0.19830258911155524,1,0.0,0,0.0,0
"Waste Management, Inc.",12_month,87,0.024429984635083803,0.8183824345662323,3,-0.2517727968071078,-0.06103042760813858,1,-0.16805419611913078,1,-0.0,0,-0.0,0,-0.16051749259013084,1,0.0,0,-0.0,0
Utilities,12_month,345,0.16960665527035743,0.0,0,0.17447339209993779,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
Agriculture,12_month,35,0.13524307062426166,0.5640589274627429,4,1.0999964557724398,0.17024060745847075,1,0.32497512967037767,1,0.0,0,0.0,0,0.0,0,0.9984111655378767,1,-0.03110079353579197,1
